run,rope_length_m,quality_valid,action,component,duration_s,positive_integral_j_kg,negative_integral_j_kg,net_integral_j_kg,net_mean_power_w_kg,power_rms_w_kg,positive_time_ratio,injection_bias,acceleration_rms_m_s2,power_band_energy_w2_s_kg2,power_band_rms_w_kg,power_band_fraction,acceleration_band_energy_m2_s3,acceleration_band_rms_m_s2,acceleration_band_fraction
L08_VALID,0.8,True,action_08_west,velocity_tracking_actual,6.188000000000002,0.028710725806705396,-0.04393291839864116,-0.015222192591935767,-0.0024599535539650552,0.01741555239145417,0.3281653746770026,-0.20954610356421818,0.0968071832120289,1.2898585201854453e-05,0.0014437629272447635,0.020718869705390622,0.009635079055381893,0.03945958275091355,0.2432007112975733
L08_VALID,0.8,True,action_08_west,velocity_observer_estimation,6.188000000000002,0.040167664626844235,-0.0039535629973745795,0.036214101629469655,0.005852311187697098,0.010858967767051633,0.8126614987080103,0.8207863556722792,0.06628416606538141,1.7412071362008798e-06,0.0005304568557309796,0.005370024084253132,0.008868653543964048,0.03785765352186595,0.32726469094485905
L08_VALID,0.8,True,action_08_west,z3_disturbance,6.188000000000002,0.013476616900879881,-0.011643023950731728,0.001833592950148153,0.000296314309978693,0.005474134054317481,0.5180878552971576,0.07299439354964005,0.04203880082495838,7.095938388793957e-05,0.003386333800383225,0.5598147633260978,0.0002325176420597653,0.006129891712571136,0.11294314742150355
L08_VALID,0.8,True,action_09_hold,nominal_total,10.159999999999997,0.004619223970171336,-0.015325639525121745,-0.010706415554950409,-0.0010537810585581114,0.005682055610357196,0.4675632911392405,-0.53680064330734,0.045753079360211384,1.8873926569993834e-06,0.00043100695330719664,0.04427525075983449,0.000233648322730464,0.004795506454850233,0.011581182389459937
L08_VALID,0.8,True,action_09_hold,position_feedback,10.159999999999997,0.00529197542401391,-0.009065619928724072,-0.003773644504710162,-0.00037142170321950425,0.002924592383237733,0.5134493670886076,-0.2628326270520315,0.028945291998621545,6.30658661022921e-06,0.0007878623157416957,0.39657564389453387,2.339811444721211e-05,0.0015175519827653,0.005091686182720441
L08_VALID,0.8,True,action_09_hold,velocity_error_combined,10.159999999999997,0.004917503175551244,-0.0118502738838129,-0.0069327707082616555,-0.000682359321679297,0.0038829443394862045,0.41218354430379744,-0.4134579487619068,0.039645082069452796,4.684211505587714e-06,0.0006790025327834573,0.16393126377853984,0.00016226446947477052,0.0039963623897087954,0.010476930893215485
L08_VALID,0.8,True,action_09_hold,velocity_reference,10.159999999999997,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,nan
L08_VALID,0.8,True,action_09_hold,velocity_state_feedback,10.159999999999997,0.004917503175551244,-0.0118502738838129,-0.0069327707082616555,-0.000682359321679297,0.0038829443394862045,0.41218354430379744,-0.4134579487619068,0.039645137992518474,4.684211505587714e-06,0.0006790025327834573,0.16393126377853984,0.00016226441928541866,0.003996361771659587,0.010476926846930195
L08_VALID,0.8,True,action_09_hold,velocity_tracking_actual,10.159999999999997,0.004259375715468128,-0.02616087759392521,-0.02190150187845708,-0.0021556596337064062,0.006649209657695262,0.28322784810126583,-0.7199644807590807,0.06846833325755736,1.3238519094087695e-05,0.0011414919394561126,0.17739377315497978,0.0021477309907169187,0.014539286280385427,0.060056744325825966
L08_VALID,0.8,True,action_09_hold,velocity_observer_estimation,10.159999999999997,0.016674470900429707,-0.0017047231369618579,0.014969747763467848,0.0014734003704200643,0.003635996176403575,0.75,0.814494244579639,0.04300825657498043,2.349354186133936e-06,0.0004808696790623518,0.10115407347414247,0.0016355209162726566,0.012687650221261325,0.13525109354117537
